,stock_code,date,prev,open,high,low,close,change
224,ACES,2023-07-27,740,745,755,735,755,15
225,ACES,2023-07-28,755,760,765,735,735,-20
226,ACES,2023-07-31,735,735,745,715,720,-15
227,ACES,2023-08-01,720,715,730,675,675,-45
228,ACES,2023-08-02,675,675,700,655,665,-10
229,ACES,2023-08-03,665,670,695,670,690,25
230,ACES,2023-08-04,690,695,700,680,680,-10
231,ACES,2023-08-07,680,690,735,690,730,50
232,ACES,2023-08-08,730,730,740,715,720,-10
233,ACES,2023-08-09,720,720,725,705,715,-5
234,ACES,2023-08-10,715,715,720,690,700,-15
235,ACES,2023-08-11,700,700,700,685,700,0
236,ACES,2023-08-14,700,700,700,690,690,-10
237,ACES,2023-08-15,690,695,730,690,720,30
238,ACES,2023-08-16,720,720,730,710,715,-5
239,ACES,2023-08-18,715,715,730,710,710,-5
240,ACES,2023-08-21,710,710,745,710,730,20
241,ACES,2023-08-22,730,750,765,735,750,20
242,ACES,2023-08-23,750,750,760,730,755,5
243,ACES,2023-08-24,755,760,770,755,760,5
244,ACES,2023-08-25,760,765,765,745,750,-10
245,ACES,2023-08-28,750,755,775,750,760,10
246,ACES,2023-08-29,760,765,770,750,755,-5
247,ACES,2023-08-30,755,760,765,750,755,0
248,ACES,2023-08-31,755,755,755,730,730,-25
249,ACES,2023-09-01,730,730,740,710,740,10
250,ACES,2023-09-04,740,740,750,730,740,0
251,ACES,2023-09-05,740,740,740,730,730,-10
252,ACES,2023-09-06,730,730,750,715,725,-5
253,ACES,2023-09-07,725,725,735,720,720,-5
254,ACES,2023-09-08,720,725,730,715,720,0
255,ACES,2023-09-11,720,730,755,720,755,35
256,ACES,2023-09-12,755,760,760,735,750,-5
257,ACES,2023-09-13,750,750,760,745,745,-5
258,ACES,2023-09-14,745,745,750,735,735,-10
259,ACES,2023-09-15,735,735,745,725,730,-5
260,ACES,2023-09-18,730,735,795,730,795,65
261,ACES,2023-09-19,795,800,815,775,775,-20
262,ACES,2023-09-20,775,775,810,770,790,15
263,ACES,2023-09-21,790,800,810,780,800,10
264,ACES,2023-09-22,800,795,800,785,790,-10
265,ACES,2023-09-25,790,795,800,780,790,0
266,ACES,2023-09-26,790,790,795,730,760,-30
267,ACES,2023-09-27,760,760,765,745,755,-5
268,ACES,2023-09-29,755,755,765,745,750,-5
269,ACES,2023-10-02,750,755,790,755,785,35
270,ACES,2023-10-03,785,785,790,770,775,-10
271,ACES,2023-10-04,775,775,775,750,750,-25
272,ACES,2023-10-05,750,750,780,745,760,10
273,ACES,2023-10-06,760,760,770,755,765,5
274,ACES,2023-10-09,765,765,770,760,765,0
275,ACES,2023-10-10,765,770,790,770,780,15
276,ACES,2023-10-11,780,785,790,775,780,0
277,ACES,2023-10-12,780,780,810,780,805,25
278,ACES,2023-10-13,805,805,830,785,785,-20
279,ACES,2023-10-16,785,785,810,775,805,20
280,ACES,2023-10-17,805,805,815,785,800,-5
281,ACES,2023-10-18,800,800,805,785,800,0
282,ACES,2023-10-19,800,800,810,765,790,-10
283,ACES,2023-10-20,790,790,805,780,795,5
284,ACES,2023-10-23,795,810,845,805,825,30
285,ACES,2023-10-24,825,825,865,815,855,30
286,ACES,2023-10-25,855,855,890,855,875,20
287,ACES,2023-10-26,875,875,880,825,870,-5
288,ACES,2023-10-27,870,870,875,840,845,-25
289,ACES,2023-10-30,845,845,860,795,830,-15
290,ACES,2023-10-31,830,830,835,785,800,-30
291,ACES,2023-11-01,800,810,820,780,795,-5
292,ACES,2023-11-02,795,805,820,795,795,0
293,ACES,2023-11-03,795,800,825,795,820,25
294,ACES,2023-11-06,820,830,870,820,860,40
295,ACES,2023-11-07,860,860,860,825,830,-30
296,ACES,2023-11-08,830,840,845,820,830,0
297,ACES,2023-11-09,830,830,840,820,825,-5
298,ACES,2023-11-10,825,820,830,800,805,-20
299,ACES,2023-11-13,805,815,830,810,825,20
300,ACES,2023-11-14,825,830,840,810,810,-15
301,ACES,2023-11-15,810,825,835,820,835,25
302,ACES,2023-11-16,835,840,840,820,830,-5
303,ACES,2023-11-17,830,830,830,815,815,-15
304,ACES,2023-11-20,815,820,835,815,830,15
305,ACES,2023-11-21,830,830,855,820,820,-10
306,ACES,2023-11-22,820,825,830,815,815,-5
307,ACES,2023-11-23,815,820,825,805,810,-5
308,ACES,2023-11-24,810,815,820,760,815,5
309,ACES,2023-11-27,815,815,815,795,800,-15
310,ACES,2023-11-28,800,805,810,770,775,-25
311,ACES,2023-11-29,775,780,785,750,770,-5
312,ACES,2023-11-30,770,770,775,740,755,-15
313,ACES,2023-12-01,755,760,760,730,735,-20
314,ACES,2023-12-04,735,730,750,720,720,-15
315,ACES,2023-12-05,720,720,730,690,710,-10
316,ACES,2023-12-06,710,715,730,705,730,20
317,ACES,2023-12-07,730,730,730,670,695,-35
318,ACES,2023-12-08,695,695,710,690,695,0
319,ACES,2023-12-11,695,700,700,685,690,-5
320,ACES,2023-12-12,690,690,710,685,685,-5
321,ACES,2023-12-13,685,690,690,665,680,-5
322,ACES,2023-12-14,680,685,700,680,680,0
323,ACES,2023-12-15,680,685,690,675,685,5
324,ACES,2023-12-18,685,695,740,690,715,30
325,ACES,2023-12-19,715,720,750,705,740,25
326,ACES,2023-12-20,740,740,750,720,720,-20
327,ACES,2023-12-21,720,725,730,715,725,5
328,ACES,2023-12-22,725,730,735,715,720,-5
329,ACES,2023-12-27,720,720,740,715,725,5
330,ACES,2023-12-28,725,730,735,705,715,-10
331,ACES,2023-12-29,715,715,720,705,720,5
332,ACES,2022-01-03,1280,1285,1385,1285,1380,100
333,ACES,2022-01-04,1380,1380,1380,1345,1365,-15
334,ACES,2022-01-05,1365,1365,1395,1350,1385,20
335,ACES,2022-01-06,1385,1380,1385,1335,1360,-25
336,ACES,2022-01-07,1360,1370,1390,1350,1380,20
337,ACES,2022-01-10,1380,1380,1390,1365,1385,5
338,ACES,2022-01-11,1385,1385,1390,1315,1315,-70
339,ACES,2022-01-12,1315,1330,1360,1300,1325,10
340,ACES,2022-01-13,1325,1325,1370,1325,1355,30
341,ACES,2022-01-14,1355,1355,1370,1345,1370,15
342,ACES,2022-01-17,1370,1370,1375,1345,1350,-20
343,ACES,2022-01-18,1350,1350,1370,1335,1345,-5
344,ACES,2022-01-19,1345,1345,1350,1310,1340,-5
345,ACES,2022-01-20,1340,1340,1340,1300,1300,-40
346,ACES,2022-01-21,1300,1290,1300,1270,1275,-25
347,ACES,2022-01-24,1275,1280,1295,1270,1270,-5
348,ACES,2022-01-25,1270,1270,1285,1250,1250,-20
349,ACES,2022-01-26,1250,1250,1255,1190,1200,-50
350,ACES,2022-01-27,1200,1210,1255,1200,1255,55
351,ACES,2022-01-28,1255,1260,1270,1245,1260,5
352,ACES,2022-01-31,1260,1260,1265,1220,1235,-25
353,ACES,2022-02-02,1235,0,1290,1235,1270,35
354,ACES,2022-02-03,1270,0,1275,1255,1255,-15
355,ACES,2022-02-04,1255,0,1300,1260,1285,30
356,ACES,2022-02-07,1285,0,1305,1270,1275,-10
357,ACES,2022-02-08,1275,0,1285,1245,1245,-30
358,ACES,2022-02-09,1245,0,1250,1215,1220,-25
359,ACES,2022-02-10,1220,0,1240,1210,1230,10
360,ACES,2022-02-11,1230,0,1240,1220,1220,-10
361,ACES,2022-02-14,1220,0,1230,1210,1210,-10
362,ACES,2022-02-15,1210,0,1255,1215,1245,35
363,ACES,2022-02-16,1245,0,1255,1235,1245,0
364,ACES,2022-02-17,1245,0,1255,1215,1225,-20
365,ACES,2022-02-18,1225,0,1260,1215,1245,20
366,ACES,2022-02-21,1245,0,1245,1205,1205,-40
367,ACES,2022-02-22,1205,0,1215,1160,1165,-40
368,ACES,2022-02-23,1165,0,1170,1115,1120,-45
369,ACES,2022-02-24,1120,0,1120,1060,1060,-60
370,ACES,2022-02-25,1060,0,1090,1055,1070,10
371,ACES,2022-03-01,1070,0,1110,1070,1110,40
372,ACES,2022-03-02,1110,0,1110,1060,1060,-50
373,ACES,2022-03-04,1060,0,1070,1015,1025,-35
374,ACES,2022-03-07,1025,0,1035,955,960,-65
375,ACES,2022-03-08,960,0,1015,935,995,35
376,ACES,2022-03-09,995,0,1050,995,1045,50
377,ACES,2022-03-10,1045,0,1115,1045,1110,65
378,ACES,2022-03-11,1110,0,1110,1060,1095,-15
379,ACES,2022-03-14,1095,0,1105,1075,1100,5
380,ACES,2022-03-15,1100,0,1125,1035,1060,-40
381,ACES,2022-03-16,1060,0,1070,1015,1045,-15
382,ACES,2022-03-17,1045,0,1070,1030,1060,15
383,ACES,2022-03-18,1060,0,1070,1000,1000,-60
384,ACES,2022-03-21,1000,0,1025,1000,1005,5
385,ACES,2022-03-22,1005,0,1020,995,995,-10
386,ACES,2022-03-23,995,0,1010,970,990,-5
387,ACES,2022-03-24,990,0,1010,985,995,5
388,ACES,2022-03-25,995,0,1025,995,1005,10
389,ACES,2022-03-28,1005,0,1015,1000,1015,10
390,ACES,2022-03-29,1015,0,1035,1015,1025,10
391,ACES,2022-03-30,1025,0,1060,1020,1025,0
392,ACES,2022-03-31,1025,0,1035,1005,1025,0
393,ACES,2022-04-01,1025,0,1095,1025,1075,50
394,ACES,2022-04-04,1075,0,1120,1075,1110,35
395,ACES,2022-04-05,1110,0,1110,1070,1075,-35
396,ACES,2022-04-06,1075,0,1090,1065,1075,0
397,ACES,2022-04-07,1075,0,1110,1070,1095,20
398,ACES,2022-04-08,1095,0,1115,1080,1085,-10
399,ACES,2022-04-11,1085,0,1100,1050,1065,-20
400,ACES,2022-04-12,1065,0,1175,1060,1160,95
401,ACES,2022-04-13,1160,0,1175,1130,1170,10
402,ACES,2022-04-14,1170,0,1185,1125,1145,-25
403,ACES,2022-04-18,1145,0,1155,1125,1145,0
404,ACES,2022-04-19,1145,0,1150,1070,1075,-70
405,ACES,2022-04-20,1075,0,1120,1070,1095,20
406,ACES,2022-04-21,1095,0,1100,1070,1075,-20
407,ACES,2022-04-22,1075,0,1075,1035,1065,-10
408,ACES,2022-04-25,1065,0,1070,1045,1050,-15
409,ACES,2022-04-26,1050,0,1055,1020,1040,-10
410,ACES,2022-04-27,1040,0,1045,1020,1030,-10
411,ACES,2022-04-28,1030,0,1055,1025,1045,15
412,ACES,2022-05-09,1045,0,1045,985,990,-55
413,ACES,2022-05-10,990,0,1025,955,995,5
414,ACES,2022-05-11,995,0,1035,1000,1025,30
415,ACES,2022-05-12,1025,0,1035,970,970,-55
416,ACES,2022-05-13,970,0,1010,960,990,20
417,ACES,2022-05-17,990,0,1025,1000,1015,25
