,date,stock_code,prev,open,high,low,close,change
645,30 Mei 2022,SIDO,965,0,970,965,965,0
754,30 Mei 2022,UNTR,30400,30700,30875,29925,30250,-150
755,30 Mei 2022,UNVR,4760,4760,4760,4620,4650,-110
4,31 Mei 2022,ACES,1000,0,1010,960,960,-40
34,31 Mei 2022,AMRT,1690,1730,1820,1640,1820,130
56,31 Mei 2022,ASII,7250,7250,7475,7250,7350,100
317,31 Mei 2022,HRUM,11450,11625,11925,11500,11875,425
347,31 Mei 2022,INKP,8050,8125,8300,7950,8250,200
355,31 Mei 2022,INTP,10225,10225,10300,9725,9725,-500
448,31 Mei 2022,MAPI,900,0,905,890,900,0
645,31 Mei 2022,SIDO,965,0,1020,965,1020,55
754,31 Mei 2022,UNTR,30250,30500,31975,30300,31300,1050
755,31 Mei 2022,UNVR,4650,4680,4820,4630,4730,80
4,02 Jun 2022,ACES,960,0,1000,970,985,25
34,02 Jun 2022,AMRT,1820,1850,1900,1780,1800,-20
56,02 Jun 2022,ASII,7350,7300,7500,7250,7325,-25
317,02 Jun 2022,HRUM,2380,2380,2400,2300,2310,-70
347,02 Jun 2022,INKP,8250,8250,8475,8225,8425,175
355,02 Jun 2022,INTP,9725,9800,9925,9675,9850,125
448,02 Jun 2022,MAPI,900,0,910,890,895,-5
645,02 Jun 2022,SIDO,1020,0,1020,975,1000,-20
754,02 Jun 2022,UNTR,31300,31975,32500,30975,31625,325
755,02 Jun 2022,UNVR,4730,4760,4890,4710,4790,60
4,03 Jun 2022,ACES,985,0,1010,985,1000,15
34,03 Jun 2022,AMRT,1800,1810,1860,1795,1815,15
56,03 Jun 2022,ASII,7325,7350,7475,7300,7300,-25
317,03 Jun 2022,HRUM,2310,2310,2440,2230,2410,100
347,03 Jun 2022,INKP,8425,8450,8500,8250,8275,-150
355,03 Jun 2022,INTP,9850,9975,9975,9750,9800,-50
448,03 Jun 2022,MAPI,895,0,960,895,935,40
645,03 Jun 2022,SIDO,1000,0,1010,985,985,-15
754,03 Jun 2022,UNTR,31625,32450,32725,31600,32600,975
755,03 Jun 2022,UNVR,4790,4810,4810,4720,4720,-70
4,06 Jun 2022,ACES,1000,0,1005,970,980,-20
34,06 Jun 2022,AMRT,1815,1815,1845,1790,1820,5
56,06 Jun 2022,ASII,7300,7200,7250,7075,7225,-75
317,06 Jun 2022,HRUM,2410,2410,2470,2310,2330,-80
347,06 Jun 2022,INKP,8275,8275,8425,8100,8175,-100
355,06 Jun 2022,INTP,9800,9825,9950,9775,9900,100
448,06 Jun 2022,MAPI,935,0,985,930,960,25
645,06 Jun 2022,SIDO,985,0,995,980,990,5
754,06 Jun 2022,UNTR,32600,32600,32700,31825,32175,-425
755,06 Jun 2022,UNVR,4720,4720,4780,4700,4770,50
4,07 Jun 2022,ACES,980,0,990,980,990,10
34,07 Jun 2022,AMRT,1820,1815,1850,1805,1810,-10
56,07 Jun 2022,ASII,7225,7300,7400,7200,7200,-25
317,07 Jun 2022,HRUM,2330,2370,2380,2310,2330,0
347,07 Jun 2022,INKP,8175,8175,8450,8175,8200,25
355,07 Jun 2022,INTP,9900,9500,9650,9425,9550,-350
448,07 Jun 2022,MAPI,960,0,980,940,950,-10
645,07 Jun 2022,SIDO,990,0,995,980,985,-5
754,07 Jun 2022,UNTR,32175,32700,33375,32500,32825,650
755,07 Jun 2022,UNVR,4770,4770,4780,4720,4730,-40
4,08 Jun 2022,ACES,990,0,990,975,985,-5
34,08 Jun 2022,AMRT,1810,1815,1850,1815,1850,40
56,08 Jun 2022,ASII,7200,7150,7350,7150,7175,-25
317,08 Jun 2022,HRUM,2330,2330,2340,2170,2180,-150
347,08 Jun 2022,INKP,8200,8275,8400,8200,8350,150
355,08 Jun 2022,INTP,9550,9550,9725,9475,9650,100
448,08 Jun 2022,MAPI,950,0,985,950,965,15
645,08 Jun 2022,SIDO,985,0,995,975,985,0
754,08 Jun 2022,UNTR,32825,33275,33300,32775,33050,225
755,08 Jun 2022,UNVR,4730,4740,4970,4730,4890,160
4,09 Jun 2022,ACES,985,0,990,930,945,-40
34,09 Jun 2022,AMRT,1850,1865,1865,1805,1855,5
56,09 Jun 2022,ASII,7175,7150,7350,7150,7200,25
317,09 Jun 2022,HRUM,2180,2180,2230,2150,2180,0
347,09 Jun 2022,INKP,8350,8350,8450,8250,8275,-75
355,09 Jun 2022,INTP,9650,9675,9700,9500,9500,-150
448,09 Jun 2022,MAPI,965,0,970,940,950,-15
645,09 Jun 2022,SIDO,985,0,985,975,975,-10
754,09 Jun 2022,UNTR,33050,33050,33075,32275,32400,-650
755,09 Jun 2022,UNVR,4890,4900,4930,4760,4820,-70
4,10 Jun 2022,ACES,945,0,945,910,915,-30
34,10 Jun 2022,AMRT,1855,1840,1840,1765,1795,-60
56,10 Jun 2022,ASII,7200,7100,7175,6925,6925,-275
317,10 Jun 2022,HRUM,2180,2140,2160,2080,2100,-80
347,10 Jun 2022,INKP,8275,8225,8425,8100,8375,100
355,10 Jun 2022,INTP,9500,9500,9525,9350,9400,-100
448,10 Jun 2022,MAPI,950,0,960,915,925,-25
645,10 Jun 2022,SIDO,975,0,980,965,975,0
754,10 Jun 2022,UNTR,32400,32400,32700,32000,32200,-200
755,10 Jun 2022,UNVR,4820,4780,4790,4720,4750,-70
4,13 Jun 2022,ACES,915,0,915,875,880,-35
34,13 Jun 2022,AMRT,1795,1795,1815,1740,1770,-25
56,13 Jun 2022,ASII,6925,6900,7100,6725,7025,100
317,13 Jun 2022,HRUM,2100,2000,2050,1965,2020,-80
347,13 Jun 2022,INKP,8375,8200,8250,8000,8200,-175
355,13 Jun 2022,INTP,9400,9350,9350,9025,9150,-250
448,13 Jun 2022,MAPI,925,0,920,880,900,-25
645,13 Jun 2022,SIDO,975,0,990,945,960,-15
754,13 Jun 2022,UNTR,32200,32025,32025,30175,30675,-1525
755,13 Jun 2022,UNVR,4750,4690,4700,4600,4690,-60
4,14 Jun 2022,ACES,880,0,905,875,885,5
34,14 Jun 2022,AMRT,1770,1775,1840,1770,1835,65
56,14 Jun 2022,ASII,7025,6875,7000,6875,6975,-50
317,14 Jun 2022,HRUM,2020,2000,2070,1960,2020,0
347,14 Jun 2022,INKP,8200,8125,8250,7950,8000,-200
355,14 Jun 2022,INTP,9150,9125,9275,9075,9225,75
448,14 Jun 2022,MAPI,900,0,910,880,890,-10
645,14 Jun 2022,SIDO,960,0,960,945,945,-15
754,14 Jun 2022,UNTR,30675,30400,31550,30100,31550,875
755,14 Jun 2022,UNVR,4690,4640,4740,4610,4740,50
4,15 Jun 2022,ACES,885,0,890,860,860,-25
34,15 Jun 2022,AMRT,1835,1830,1835,1775,1795,-40
56,15 Jun 2022,ASII,6975,6975,6975,6700,6700,-275
317,15 Jun 2022,HRUM,2020,2020,2030,1880,1885,-135
347,15 Jun 2022,INKP,8000,8000,8075,7800,7800,-200
355,15 Jun 2022,INTP,9225,9225,9300,9100,9100,-125
448,15 Jun 2022,MAPI,890,0,905,885,900,10
645,15 Jun 2022,SIDO,945,0,955,935,950,5
754,15 Jun 2022,UNTR,31550,31550,31625,29700,29750,-1800
755,15 Jun 2022,UNVR,4740,4750,4810,4690,4800,60
4,16 Jun 2022,ACES,860,0,885,850,850,-10
34,16 Jun 2022,AMRT,1795,1820,1840,1795,1830,35
56,16 Jun 2022,ASII,6700,6850,6950,6750,6850,150
317,16 Jun 2022,HRUM,1885,1930,1960,1840,1860,-25
347,16 Jun 2022,INKP,7800,7950,8200,7925,8100,300
355,16 Jun 2022,INTP,9100,9150,9300,9150,9200,100
448,16 Jun 2022,MAPI,900,0,940,900,910,10
645,16 Jun 2022,SIDO,950,0,970,945,950,0
754,16 Jun 2022,UNTR,29750,30100,30900,29950,30000,250
755,16 Jun 2022,UNVR,4800,4850,4850,4730,4800,0
4,17 Jun 2022,ACES,850,0,840,800,805,-45
34,17 Jun 2022,AMRT,1830,1820,1830,1790,1805,-25
56,17 Jun 2022,ASII,6850,6675,6950,6675,6950,100
317,17 Jun 2022,HRUM,1860,1815,1815,1730,1730,-130
347,17 Jun 2022,INKP,8100,8000,8050,7875,7925,-175
355,17 Jun 2022,INTP,9200,9100,9250,9050,9250,50
448,17 Jun 2022,MAPI,910,0,915,860,875,-35
645,17 Jun 2022,SIDO,950,0,960,945,960,10
754,17 Jun 2022,UNTR,30000,29525,29550,28800,28800,-1200
755,17 Jun 2022,UNVR,4800,4760,4800,4650,4650,-150
4,20 Jun 2022,ACES,805,0,815,750,775,-30
34,20 Jun 2022,AMRT,1805,1805,1820,1790,1800,-5
56,20 Jun 2022,ASII,6950,6950,6975,6750,6925,-25
317,20 Jun 2022,HRUM,1730,1750,1755,1640,1680,-50
347,20 Jun 2022,INKP,7925,7925,7950,7700,7800,-125
355,20 Jun 2022,INTP,9250,9250,9275,9075,9200,-50
448,20 Jun 2022,MAPI,875,0,920,870,900,25
645,20 Jun 2022,SIDO,960,0,970,945,965,5
754,20 Jun 2022,UNTR,28800,28800,29125,28525,29000,200
755,20 Jun 2022,UNVR,4650,4680,5025,4660,5025,375
4,21 Jun 2022,ACES,775,0,800,760,765,-10
34,21 Jun 2022,AMRT,1800,1830,1835,1810,1830,30
56,21 Jun 2022,ASII,6925,6900,6975,6850,6850,-75
317,21 Jun 2022,HRUM,1680,1745,1765,1695,1725,45
347,21 Jun 2022,INKP,7800,7800,7900,7750,7775,-25
355,21 Jun 2022,INTP,9200,9225,9400,9200,9400,200
448,21 Jun 2022,MAPI,900,0,930,890,900,0
645,21 Jun 2022,SIDO,965,0,970,945,955,-10
754,21 Jun 2022,UNTR,29000,29500,29725,28825,29150,150
755,21 Jun 2022,UNVR,5025,5050,5100,4950,5050,25
4,22 Jun 2022,ACES,765,0,785,720,770,5
34,22 Jun 2022,AMRT,1830,1835,1960,1815,1960,130
56,22 Jun 2022,ASII,6850,6850,6925,6775,6800,-50
317,22 Jun 2022,HRUM,1725,1725,1780,1645,1655,-70
347,22 Jun 2022,INKP,7775,7800,7950,7625,7775,0
355,22 Jun 2022,INTP,9400,9350,9425,9275,9275,-125
448,22 Jun 2022,MAPI,900,0,910,890,895,-5
645,22 Jun 2022,SIDO,955,0,975,955,975,20
754,22 Jun 2022,UNTR,29150,29200,29525,29000,29200,50
755,22 Jun 2022,UNVR,5050,5050,5050,4860,4890,-160
4,23 Jun 2022,ACES,770,0,780,760,770,0
34,23 Jun 2022,AMRT,1960,1960,2040,1915,1990,30
56,23 Jun 2022,ASII,6800,6850,6875,6750,6875,75
317,23 Jun 2022,HRUM,1655,1650,1685,1585,1675,20
347,23 Jun 2022,INKP,7775,7750,7775,7600,7750,-25
355,23 Jun 2022,INTP,9275,9275,9500,9200,9500,225
448,23 Jun 2022,MAPI,895,0,910,880,900,5
645,23 Jun 2022,SIDO,975,0,985,970,985,10
754,23 Jun 2022,UNTR,29200,29450,29450,28650,29275,75
755,23 Jun 2022,UNVR,4890,4900,5000,4860,4960,70
4,24 Jun 2022,ACES,770,0,810,770,780,10
34,24 Jun 2022,AMRT,1990,1990,2020,1945,1990,0
56,24 Jun 2022,ASII,6875,6900,6900,6650,6675,-200
317,24 Jun 2022,HRUM,1675,1680,1695,1640,1675,0
347,24 Jun 2022,INKP,7750,7750,7775,7650,7725,-25
355,24 Jun 2022,INTP,9500,9500,9825,9450,9775,275
448,24 Jun 2022,MAPI,900,0,915,885,915,15
645,24 Jun 2022,SIDO,985,0,1000,980,990,5
754,24 Jun 2022,UNTR,29275,29400,29700,29075,29275,0
